CodProd;Produto;Categoria;Segmento;Fabricante;CEP;Cidade;Estado;Região;Data;Quantidade
791;Natura RP-79;Rural;Trabalho;Natura;18336;Rio Claro;SP;Sudeste;30/08/2021;566,57
759;Natura RP-47;Rural;Trabalho;Natura;18337;Guarulhos;SP;Sudeste;31/08/2021;1217,57
2345;Aliqui UE-19;Urbano;Radical;Aliqui;18337;Guarulhos;SP;Sudeste;01/09/2021;3569,54
609;Maximus UC-74;Urbano;Dia-a-Dia;Maximus;18403;São Carlos;SP;Sudeste;02/09/2021;7179,83
2045;Currus UE-05;Urbano;Radical;Currus;18407;Campinas;SP;Sudeste;03/09/2021;3359,55
1109;Pirum RP-55;Rural;Trabalho;Pirum;18411;Araraquara;SP;Sudeste;04/09/2021;1679,56
792;Natura RP-80;Rural;Trabalho;Natura;18413;Barueri;SP;Sudeste;05/09/2021;1510,72
992;Natura UC-55;Urbano;Dia-a-Dia;Natura;18419;Pequenópolis;SP;Sudeste;06/09/2021;2435,56
609;Maximus UC-74;Urbano;Dia-a-Dia;Maximus;18426;Nova Odessa;SP;Sudeste;07/09/2021;7179,83
674;Maximus UC-39;Urbano;Dia-a-Dia;Maximus;18426;Nova Odessa;SP;Sudeste;08/09/2021;5709,84
952;Natura UC-15;Urbano;Dia-a-Dia;Natura;18337;Guarulhos;SP;Sudeste;09/09/2021;2099,56
533;Maximus UE-21;Urbano;Radical;Maximus;18407;Campinas;SP;Sudeste;10/09/2021;4197,86
650;Maximus UC-15;Urbano;Dia-a-Dia;Maximus;18407;Campinas;SP;Sudeste;11/09/2021;4122,26
2388;Aliqui UC-36;Urbano;Dia-a-Dia;Aliqui;18407;Campinas;SP;Sudeste;12/09/2021;2519,55
1203;Pirum UC-05;Urbano;Dia-a-Dia;Pirum;18411;Araraquara;SP;Sudeste;13/09/2021;2561,55
599;Maximus UC-64;Urbano;Dia-a-Dia;Maximus;18414;Santo André;SP;Sudeste;14/09/2021;7095,83
2388;Aliqui UC-36;Urbano;Dia-a-Dia;Aliqui;18424;Taboão da Serra;SP;Sudeste;15/09/2021;2603,55
633;Maximus UC-98;Urbano;Dia-a-Dia;Maximus;18426;Nova Odessa;SP;Sudeste;16/09/2021;4535,53
2388;Aliqui UC-36;Urbano;Dia-a-Dia;Aliqui;18426;Nova Odessa;SP;Sudeste;17/09/2021;2519,55
573;Maximus UC-38;Urbano;Dia-a-Dia;Maximus;18428;Santos;SP;Sudeste;18/09/2021;2349,88
431;Maximus UM-36;Urbano;Clássico;Maximus;18428;Santos;SP;Sudeste;19/09/2021;8231,5
2352;Aliqui UE-26;Urbano;Radical;Aliqui;18337;Guarulhos;SP;Sudeste;20/09/2021;2939,55
2359;Aliqui UC-07;Urbano;Dia-a-Dia;Aliqui;18337;Guarulhos;SP;Sudeste;21/09/2021;3443,55
400;Maximus UM-05;Urbano;Clássico;Maximus;18337;Guarulhos;SP;Sudeste;22/09/2021;6759,83
1076;Pirum RP-22;Rural;Trabalho;Pirum;18337;Guarulhos;SP;Sudeste;23/09/2021;2036,56
2225;Aliqui RP-22;Rural;Trabalho;Aliqui;18403;São Carlos;SP;Sudeste;24/09/2021;545,57
1053;Pirum MA-11;Mix;Todas Estações;Pirum;18407;Campinas;SP;Sudeste;25/09/2021;2246,56
1230;Pirum UC-32;Urbano;Dia-a-Dia;Pirum;18407;Campinas;SP;Sudeste;26/09/2021;4199,54
2332;Aliqui UE-06;Urbano;Radical;Aliqui;18407;Campinas;SP;Sudeste;27/09/2021;3359,55
487;Maximus UM-92;Urbano;Clássico;Maximus;18411;Araraquara;SP;Sudeste;28/09/2021;8819,49
585;Maximus UC-50;Urbano;Dia-a-Dia;Maximus;18411;Araraquara;SP;Sudeste;29/09/2021;3359,55
630;Maximus UC-95;Urbano;Dia-a-Dia;Maximus;18411;Araraquara;SP;Sudeste;30/09/2021;4113,86
528;Maximus UE-16;Urbano;Radical;Maximus;18414;Santo André;SP;Sudeste;01/03/2021;4827,85
