NumeroNF Loja Produto Vendedor ValorUnitario Quantidade ValorTotal Data
1 Ouro ShampooScoobyDoo Marina 25 3 69 21/03/2020
2 Plus BiscoitoChampion João 21 2 42 28/08/2019
3 Ouro CamaMédia Gustavo 45 2 90 19/05/2019
4 Plus FlexGrande Adriana 21 6 120 02/02/2020
5 Ouro BolaVinil Yuri 4 3 12 03/03/2020
6 Plus MordedorCordaBola Marina 16 4 64 22/04/2020
7 Plus GatoPena João 9 5 45 02/04/2020
8 Ouro VitaminaEGranulado Gustavo 13 3 39 13/03/2020
9 Ouro Roupaparagato Adriana 25 5 125 21/03/2020
10 Plus BiscoitoChampion Yuri 21 2 42 28/08/2019
11 Ouro CamaMédia Marina 45 4 180 19/05/2019
12 Plus FlexGrande João 21 2 36 02/02/2020
13 Ouro BolaVinilGrande Gustavo 4 1 4 10/01/2020
14 Plus MordedorCordaBola Adriana 16 3 48 14/01/2020
15 Plus GatoPena Yuri 9 1 9 18/01/2020
16 Ouro VitaminaEGranulado Marina 13 5 65 22/01/2020
17 Ouro Roupaparagato João 25 3 75 12/02/2020
18 Plus BiscoitoChampion Gustavo 21 2 42 16/02/2020
19 Ouro CamaMédia Adriana 45 2 90 20/02/2020
20 Plus FlexGrande Yuri 21 6 120 24/02/2020
21 Ouro BolaVinilGrande Marina 4 3 12 19/03/2020
22 Plus MordedorCordaBola João 16 4 60 23/03/2020
23 Plus GatoPena Gustavo 9 5 40 27/03/2020
24 Ouro VitaminaEGranulado Adriana 13 3 38 31/03/2020
25 Ouro Roupaparagato Yuri 25 5 123 21/04/2020
26 Plus BiscoitoChampion Marina 21 2 42 25/04/2020
27 Ouro CamaMédia João 45 4 180 29/04/2020
28 Plus FlexGrande Gustavo 21 2 42 03/05/2019
29 Ouro BolaVinilGrande Adriana 4 1 4 27/05/2019
30 Plus MordedorCordaBola Yuri 16 3 48 31/05/2019
31 Plus GatoPena Marina 9 1 9 04/06/2019
32 Ouro VitaminaEGranulado João 13 5 65 08/06/2019
33 Ouro Roupaparagato Gustavo 25 5 125 12/07/2019
34 Plus BiscoitoChampion Adriana 21 2 42 16/07/2019
35 Ouro CamaGatoPequeno Yuri 45 4 180 20/07/2019
36 Plus FlexGrande Marina 21 2 42 24/07/2019
37 Ouro BolaVinilGrande João 4 1 4 17/08/2019
38 Plus MordedorCordaBola Gustavo 16 3 48 21/08/2019
39 Plus GatoPena Adriana 9 1 9 25/08/2019
40 Ouro VitaminaEGranulado Yuri 13 5 65 29/08/2019
41 Ouro Roupaparagato Marina 25 3 75 19/09/2019
42 Plus BiscoitoChampion João 21 2 42 04/01/2020
43 Ouro CamaGatoPequeno Gustavo 45 2 90 08/01/2020
44 Plus FlexGrande Adriana 21 6 126 12/01/2020
