nr_protocolo	ds_depto
1	Seguros
2	Conta Corrente
3	Seguros
4	Cambio
5	Seguros
6	Seguros
7	Credito
8	Credito
9	Conta Corrente
10	Ligacoes Excessivas
11	Conta Corrente
12	Seguros
13	Seguros
14	Seguros
15	Ligacoes Excessivas
16	Cambio
17	Ligacoes Excessivas
18	Seguros
19	Credito
20	Conta Corrente
21	Cambio
22	Cambio
23	Ligacoes Excessivas
24	Credito
25	Ligacoes Excessivas
26	Seguros
27	Conta Corrente
28	Credito
29	Cambio
30	Ligacoes Excessivas
31	Conta Corrente
32	Cartao
33	Seguros
34	Credito
35	Conta Corrente
36	Cartao
37	Cartao
38	Seguros
39	Conta Corrente
40	Seguros
41	Credito
42	Seguros
43	Ligacoes Excessivas
44	Credito
45	Cambio
46	Conta Corrente
47	Credito
48	Cartao
49	Conta Corrente
50	Ligacoes Excessivas
51	Credito
52	Cartao
53	Ligacoes Excessivas
54	Conta Corrente
55	Cambio
56	Conta Corrente
57	Cartao
58	Seguros
59	Seguros
60	Cartao
61	Credito
62	Ligacoes Excessivas
63	Conta Corrente
64	Cartao
65	Cartao
66	Ligacoes Excessivas
67	Cartao
68	Ligacoes Excessivas
69	Conta Corrente
70	Cambio
71	Seguros
72	Conta Corrente
73	Seguros
74	Ligacoes Excessivas
75	Cambio
76	Credito
77	Ligacoes Excessivas
78	Cartao
79	Cartao
80	Credito
81	Cartao
82	Cartao
83	Conta Corrente
84	Cartao
85	Conta Corrente
86	Seguros
87	Cartao
88	Conta Corrente
89	Ligacoes Excessivas
90	Seguros
91	Cambio
92	Cambio
93	Seguros
94	Seguros
95	Seguros
96	Credito
97	Credito
98	Cambio
99	Conta Corrente
100	Credito
101	Ligacoes Excessivas
102	Credito
103	Conta Corrente
104	Seguros
105	Seguros
106	Conta Corrente
107	Conta Corrente
108	Seguros
109	Credito
110	Credito
111	Conta Corrente
112	Ligacoes Excessivas
113	Ligacoes Excessivas
114	Cambio
115	Cartao
116	Seguros
117	Seguros
118	Credito
119	Cartao
120	Ligacoes Excessivas
121	Cambio
122	Ligacoes Excessivas
123	Ligacoes Excessivas
124	Credito
125	Ligacoes Excessivas
126	Credito
127	Seguros
128	Seguros
129	Seguros
130	Credito
131	Ligacoes Excessivas
132	Ligacoes Excessivas
133	Ligacoes Excessivas
134	Conta Corrente
135	Credito
136	Credito
137	Conta Corrente
138	Seguros
139	Seguros
140	Cartao
141	Credito
142	Conta Corrente
143	Cambio
144	Credito
145	Conta Corrente
146	Ligacoes Excessivas
147	Cambio
148	Ligacoes Excessivas
149	Cambio
150	Ligacoes Excessivas
151	Cambio
152	Cambio
153	Cartao
154	Cartao
155	Credito
156	Conta Corrente
157	Ligacoes Excessivas
158	Cartao
159	Conta Corrente
160	Cartao
161	Cambio
162	Conta Corrente
163	Cambio
164	Conta Corrente
165	Conta Corrente
166	Seguros
167	Ligacoes Excessivas
168	Cartao
169	Cambio
170	Conta Corrente
171	Cartao
172	Cartao
173	Cartao
174	Cambio
175	Seguros
176	Cartao
177	Credito
178	Ligacoes Excessivas
179	Cartao
180	Conta Corrente
181	Cambio
182	Conta Corrente
183	Cartao
184	Cambio
185	Cambio
186	Credito
187	Seguros
188	Cambio
189	Ligacoes Excessivas
190	Conta Corrente
191	Credito
192	Ligacoes Excessivas
193	Ligacoes Excessivas
194	Cartao
195	Cartao
196	Credito
197	Cartao
198	Cambio
199	Conta Corrente
200	Credito
201	Cartao
202	Cambio
203	Cambio
204	Ligacoes Excessivas
205	Cambio
206	Seguros
207	Conta Corrente
208	Credito
209	Conta Corrente
210	Seguros
211	Cambio
212	Cambio
213	Cambio
214	Conta Corrente
215	Cambio
216	Cambio
217	Ligacoes Excessivas
218	Credito
219	Cartao
220	Conta Corrente
221	Cartao
222	Cambio
223	Seguros
224	Ligacoes Excessivas
225	Cartao
226	Ligacoes Excessivas
227	Cartao
228	Cambio
229	Conta Corrente
230	Conta Corrente
231	Cartao
232	Cartao
233	Ligacoes Excessivas
234	Seguros
235	Seguros
236	Credito
237	Conta Corrente
238	Cartao
239	Conta Corrente
240	Seguros
241	Seguros
242	Cartao
243	Seguros
244	Credito
245	Conta Corrente
246	Credito
247	Seguros
248	Seguros
249	Cambio
250	Ligacoes Excessivas
251	Cambio
